Rows,brand,model,transmission,age,fuel,engine,km,owner,price,location,mileage,power,seats,type
124,hyundai,tucson,manual,6,petrol,1999,43368,1,1225000,,,,,
125,hyundai,creta,manual,5,diesel,1396,51919,2,815000,,,,,
126,maruti,ciaz,manual,2,petrol,1462,15994,1,872000,,,,,
127,honda,city,manual,8,petrol,1497,72308,1,523000,,,,,
128,honda,amaze,manual,6,petrol,1199,27051,1,515000,,,,,
129,tata,tiago,manual,6,petrol,1199,35764,1,421000,,,,,
130,renault,kiger,manual,3,petrol,999,46375,2,654000,,,,,
131,kia,seltos,manual,5,petrol,,90505,1,980000,,,,,
132,mg,hector,automatic,5,petrol,1451,14172,1,1288000,,,,,
133,maruti,baleno,manual,4,petrol,1197,27841,1,581000,,,,,
134,tata,safari,manual,3,diesel,1956,30203,1,1546000,,,,,
135,maruti,ignis,manual,3,petrol,1197,25742,1,476000,,,,,
136,honda,amaze,manual,9,petrol,1198,91116,2,320000,,,,,
137,tata,altroz,manual,4,petrol,1199,30274,2,595000,,,,,
138,renault,kiger,automatic,3,petrol,999,30195,1,711000,,,,,
139,kia,seltos,manual,2,petrol,1497,51566,1,1162000,,,,,
140,kia,sonet,manual,2,petrol,998,4763,1,981000,,,,,
141,hyundai,new,manual,1,petrol,1197,20051,1,890000,,,,,
142,volkswagen,polo,manual,5,petrol,999,68763,1,534000,,,,,
143,hyundai,grand,manual,9,petrol,1197,63079,3,307000,,,,,
144,maruti,s,manual,2,petrol,1462,15983,1,852000,,,,,
145,maruti,baleno,manual,4,petrol,1197,55790,1,626000,,,,,
146,kia,seltos,manual,3,petrol,1497,38307,1,1058000,,,,,
147,nissan,magnite,automatic,2,petrol,999,18193,2,836000,,,,,
148,hyundai,venue,manual,5,petrol,998,57649,2,729000,,,,,
149,honda,amaze,automatic,1,petrol,1199,8376,1,816000,,,,,
150,renault,triber,manual,2,petrol,999,13196,1,690000,,,,,
151,maruti,ertiga,manual,12,petrol,1373,54751,1,407000,,,,,
152,datsun,go,manual,5,petrol,1198,27695,1,400000,,,,,
153,honda,city,manual,7,petrol,1497,102835,1,608000,,,,,
154,honda,amaze,manual,5,petrol,1199,37864,1,543000,,,,,
155,honda,city,automatic,7,petrol,1497,42012,1,814000,,,,,
156,hyundai,i20,manual,11,petrol,1197,31479,1,316000,,,,,
157,kia,seltos,manual,3,petrol,1497,26456,1,1221000,,,,,
158,toyota,urban,manual,3,petrol,1462,42381,1,862000,,,,,
159,renault,kwid,automatic,5,petrol,999,13568,1,386000,,,,,
160,maruti,ciaz,automatic,2,petrol,1462,21566,1,974000,,,,,
161,kia,seltos,manual,5,petrol,1497,85336,1,1032000,,,,,
162,maruti,swift,manual,9,petrol,1197,35817,1,377000,,,,,
163,hyundai,creta,manual,5,diesel,1582,72781,1,1114000,,,,,
164,jeep,compass,manual,4,petrol,1368,76041,1,1065000,,,,,
165,maruti,ciaz,manual,8,petrol,1373,60440,1,478000,,,,,
166,mahindra,xuv500,manual,5,diesel,2179,45984,1,1011000,,,,,
167,jeep,compass,manual,6,diesel,1956,53738,2,968000,,,,,
168,maruti,alto,manual,3,petrol,796,8945,1,364000,,,,,
169,kia,sonet,manual,4,diesel,1493,68421,1,811000,,,,,
170,tata,nexon,manual,3,petrol,1199,8119,1,858000,,,,,
171,mg,hector,automatic,5,petrol,1451,8797,1,1338000,,,,,
172,maruti,baleno,manual,7,petrol,1197,32348,1,476000,,,,,
173,honda,city,manual,7,petrol,1497,115810,1,583000,,,,,
174,mahindra,xuv300,manual,4,petrol,1197,40924,1,681000,,,,,
175,maruti,baleno,manual,8,petrol,1197,33099,1,473000,,,,,
176,mg,hector,automatic,4,petrol,1451,66590,1,1269000,,,,,
177,hyundai,creta,manual,4,petrol,1497,80554,2,968000,,,,,
178,kia,seltos,automatic,5,diesel,1493,51955,1,1266000,,,,,
179,hyundai,creta,automatic,8,petrol,1591,61059,3,715000,,,,,
180,tata,nexon,manual,1,petrol,1199,24415,1,969000,,,,,
181,maruti,dzire,manual,6,petrol,1197,65268,1,509000,,,,,
182,maruti,swift,manual,12,petrol,1197,34096,1,256000,,,,,
183,maruti,swift,manual,2,petrol,1197,35230,1,626000,,,,,
184,toyota,glanza,automatic,5,petrol,1197,55311,2,622000,,,,,
185,hyundai,creta,manual,4,petrol,1497,61464,1,1172000,,,,,
186,kia,seltos,manual,5,petrol,1497,32251,1,1127000,,,,,
187,maruti,baleno,automatic,2,petrol,1197,27052,1,817000,,,,,
188,kia,sonet,manual,2,petrol,998,22078,1,958000,,,,,
189,jeep,compass,manual,5,diesel,1956,93467,1,930000,,,,,
190,maruti,swift,manual,6,petrol,1197,21574,1,630000,,,,,
191,maruti,alto,manual,8,petrol,796,97698,2,220000,,,,,
192,mahindra,thar,automatic,3,petrol,1997,31332,1,1318000,,,,,
193,mahindra,thar,automatic,3,petrol,1997,25411,1,1365000,,,,,
194,hyundai,creta,automatic,5,petrol,1591,69534,1,1045000,,,,,
195,hyundai,elite,manual,10,petrol,1197,87564,1,443000,,,,,
196,honda,city,manual,4,petrol,,35169,1,923000,,,,,
197,hyundai,grand,manual,3,cng,1197,19115,1,610000,,,,,
198,maruti,xl6,automatic,2,petrol,,6753,1,1294000,,,,,
199,maruti,baleno,manual,5,petrol,1197,59602,2,563000,,,,,
200,kia,seltos,manual,5,petrol,1497,64349,1,1053000,,,,,
201,maruti,ciaz,manual,2,petrol,1462,35483,1,870000,,,,,
202,hyundai,grand,manual,6,cng,1197,87009,2,464000,,,,,
203,datsun,redi,manual,3,petrol,799,36150,1,314000,,,,,
204,honda,amaze,manual,6,cng,,76942,1,512000,,,,,
205,maruti,vitara,automatic,3,petrol,1462,29125,2,829000,,,,,
206,honda,city,manual,12,petrol,1497,77380,2,293000,,,,,
207,tata,tiago,automatic,7,petrol,1199,102235,1,374000,,,,,
208,hyundai,creta,manual,4,petrol,1497,14693,1,1124000,,,,,
209,renault,duster,manual,3,petrol,1330,50108,1,929000,,,,,
210,hyundai,creta,manual,5,petrol,1591,17333,1,886000,,,,,
211,hyundai,creta,manual,9,petrol,1591,102963,3,569000,,,,,
212,ford,ecosport,manual,4,diesel,1498,71807,2,679000,,,,,
213,tata,tiago,manual,4,petrol,1199,53413,1,505000,,,,,
214,maruti,swift,manual,9,petrol,1197,71287,2,338000,,,,,
215,renault,duster,manual,11,petrol,1598,77978,3,314000,,,,,
216,mahindra,xuv500,manual,5,diesel,2179,56200,1,949000,,,,,
217,maruti,baleno,manual,3,petrol,1197,11344,1,574000,,,,,
218,maruti,baleno,automatic,4,petrol,1197,15673,1,746000,,,,,
219,renault,kwid,automatic,4,petrol,999,45704,2,403000,,,,,
220,hyundai,creta,manual,8,cng,1591,84938,2,681000,,,,,
221,hyundai,verna,automatic,4,petrol,998,42349,2,1057000,,,,,
222,datsun,redi,manual,6,petrol,799,30684,1,231000,,,,,
223,maruti,vitara,automatic,3,petrol,1462,57060,1,808000,,,,,
224,volkswagen,polo,manual,6,petrol,999,96717,2,488000,,,,,
225,hyundai,grand,manual,7,petrol,1197,96739,1,374000,,,,,
226,hyundai,elite,manual,9,petrol,1197,38116,1,410000,,,,,
227,maruti,baleno,manual,4,petrol,1197,25069,1,570000,,,,,
228,kia,sonet,manual,4,petrol,998,37438,2,874000,,,,,
229,kia,seltos,automatic,5,petrol,1353,49161,1,1316000,,,,,
230,tata,tigor,manual,6,petrol,1199,60364,1,430000,,,,,
231,maruti,wagon,manual,7,cng,,81370,1,350000,,,,,
232,tata,tigor,automatic,6,petrol,1199,97131,1,443000,,,,,
233,mahindra,thar,automatic,3,petrol,1997,30914,1,1340000,,,,,
234,mahindra,xuv500,automatic,5,diesel,2179,36660,1,1262000,,,,,
235,maruti,swift,manual,7,petrol,1197,55771,1,403000,,,,,
236,kia,seltos,automatic,5,petrol,1353,24009,1,1405000,,,,,
237,ford,ecosport,manual,4,diesel,1498,62541,1,826000,,,,,
238,hyundai,venue,manual,5,petrol,998,17536,1,850000,,,,,
239,tata,nexon,manual,2,petrol,1199,21897,1,824000,,,,,
240,hyundai,grand,manual,9,petrol,1197,96142,1,322000,,,,,
241,maruti,ignis,automatic,3,petrol,1197,38768,1,668000,,,,,
242,renault,kwid,manual,3,petrol,,32589,1,349000,,,,,
243,kia,sonet,manual,2,petrol,998,29811,1,1024000,,,,,
244,volkswagen,vento,automatic,6,petrol,1197,106608,1,679000,,,,,
245,hyundai,venue,manual,3,petrol,998,39415,1,886000,,,,,
246,maruti,ignis,manual,3,petrol,1197,30314,1,592000,,,,,
247,mahindra,thar,automatic,2,petrol,1997,29045,1,1397000,,,,,
248,datsun,redi,manual,3,petrol,799,15680,1,304000,,,,,
249,honda,city,manual,8,petrol,1497,97885,2,551000,,,,,
250,nissan,magnite,manual,2,petrol,999,13843,1,553000,,,,,
251,datsun,go,manual,5,petrol,1198,30616,1,411000,,,,,
252,maruti,baleno,automatic,5,petrol,1197,36124,1,590000,,,,,
253,honda,amaze,automatic,1,petrol,1199,13137,1,917000,,,,,
254,tata,harrier,automatic,2,diesel,1956,27222,1,1765000,,,,,
255,maruti,ciaz,manual,5,petrol,1462,66068,1,663000,,,,,
256,maruti,wagon,manual,7,cng,998,110029,1,325000,,,,,
257,maruti,swift,manual,9,petrol,1197,65365,1,355000,,,,,
258,maruti,alto,manual,3,petrol,796,9171,2,358000,,,,,
259,tata,nexon,automatic,5,petrol,1198,61470,1,713000,,,,,
260,tata,altroz,automatic,2,petrol,1199,24933,1,789000,,,,,
261,maruti,dzire,manual,4,petrol,1197,61172,2,541000,,,,,
262,honda,amaze,manual,9,petrol,1198,44993,1,356000,,,,,
263,maruti,swift,manual,11,petrol,1197,61671,1,282000,,,,,
264,tata,nexon,automatic,2,petrol,1199,13124,1,967000,,,,,
265,maruti,new,manual,4,cng,998,18852,1,516000,,,,,
266,maruti,ciaz,automatic,7,cng,1373,90034,2,644000,,,,,
267,maruti,vitara,automatic,5,diesel,1248,59343,2,634000,,,,,
268,honda,amaze,manual,9,petrol,1198,41525,1,349000,,,,,
269,hyundai,creta,manual,8,petrol,1591,45368,1,655000,,,,,
270,maruti,ciaz,manual,10,petrol,1373,58546,1,404000,,,,,
271,hyundai,grand,manual,8,cng,1197,57121,3,396000,,,,,
272,tata,tigor,manual,3,petrol,1199,24927,1,515000,,,,,
273,mahindra,xuv300,manual,5,petrol,1197,39926,1,829000,,,,,
274,maruti,swift,manual,7,petrol,1197,61039,1,419000,,,,,
275,jeep,compass,manual,5,petrol,1368,59431,1,1149000,,,,,
276,maruti,ignis,automatic,2,petrol,1197,36051,1,663000,,,,,
277,honda,amaze,manual,8,petrol,1198,52996,1,410000,,,,,
278,maruti,baleno,manual,5,cng,1197,47849,2,537000,,,,,
279,maruti,swift,manual,9,petrol,1197,59365,1,372000,,,,,
280,tata,nexon,automatic,2,diesel,1497,19703,1,1053000,,,,,
281,renault,kwid,manual,4,petrol,799,62083,1,356000,,,,,
282,maruti,s,manual,4,petrol,998,15966,1,392000,,,,,
283,hyundai,elite,manual,8,petrol,1197,74240,1,448000,,,,,
284,nissan,magnite,automatic,2,petrol,999,42637,1,795000,,,,,
285,mg,hector,automatic,4,petrol,1451,50365,2,1246000,,,,,
286,tata,tigor,manual,4,petrol,1199,73158,1,479000,,,,,
287,hyundai,i20,manual,10,petrol,1197,78713,1,347000,,,,,
288,tata,nexon,manual,7,petrol,1198,82375,1,590000,,,,,
289,maruti,swift,manual,7,petrol,1197,23582,1,438000,,,,,
290,tata,tigor,manual,4,petrol,,38544,2,524000,,,,,
291,hyundai,new,manual,5,petrol,1086,49352,1,413000,,,,,
292,ford,ecosport,manual,6,petrol,1497,99535,1,581000,,,,,
293,renault,kwid,manual,2,petrol,,26312,1,446000,,,,,
294,maruti,dzire,manual,2,cng,1197,47217,2,795000,,,,,
295,maruti,ciaz,automatic,6,petrol,1373,46850,2,575000,,,,,
296,hyundai,i20,manual,8,petrol,1197,54148,1,493000,,,,,
297,honda,city,automatic,9,petrol,1497,39168,2,522000,,,,,
298,renault,kwid,manual,5,petrol,,66778,1,340000,,,,,
299,kia,sonet,manual,2,diesel,1493,23502,1,955000,,,,,
300,hyundai,creta,automatic,7,petrol,1591,67495,1,832000,,,,,
301,maruti,celerio,automatic,8,petrol,998,19759,1,403000,,,,,
302,honda,city,manual,9,petrol,1497,91368,1,497000,,,,,
303,maruti,swift,manual,11,petrol,1197,36536,1,319000,,,,,
304,nissan,magnite,manual,3,petrol,999,42886,1,672000,,,,,
305,kia,sonet,manual,3,diesel,1493,28209,1,979000,,,,,
306,maruti,new,manual,5,petrol,1197,19085,1,459000,,,,,
307,hyundai,verna,manual,9,petrol,1591,102445,2,472000,,,,,
308,maruti,swift,manual,12,petrol,1197,51629,1,266000,,,,,
309,maruti,wagon,manual,11,petrol,998,70322,2,229000,,,,,
310,hyundai,creta,manual,6,petrol,1591,48108,1,803000,,,,,
311,maruti,dzire,manual,4,petrol,,108051,2,552000,,,,,
312,hyundai,grand,manual,4,petrol,1197,56215,1,551000,,,,,
313,ford,ecosport,manual,6,petrol,1497,70008,1,652000,,,,,
314,hyundai,i20,manual,10,petrol,1197,85321,1,353000,,,,,
315,maruti,swift,manual,12,petrol,1197,43425,2,251000,,,,,
316,maruti,wagon,automatic,7,petrol,998,40144,1,393000,,,,,
317,maruti,wagon,manual,7,petrol,998,54614,1,346000,,,,,
318,hyundai,xcent,manual,6,cng,1197,60152,1,476000,,,,,
319,renault,duster,manual,5,diesel,1461,40838,1,713000,,,,,
320,maruti,swift,manual,7,petrol,1197,47968,1,408000,,,,,
321,hyundai,grand,manual,6,petrol,1197,75742,1,403000,,,,,
322,hyundai,verna,manual,11,petrol,1591,108787,1,374000,,,,,
323,maruti,baleno,manual,5,petrol,1197,65533,1,503000,,,,,
324,hyundai,venue,manual,4,petrol,998,43417,2,828000,,,,,
325,maruti,baleno,manual,5,petrol,1197,35337,1,540000,,,,,
326,maruti,swift,manual,7,petrol,1197,68304,1,486000,,,,,
327,tata,punch,manual,2,petrol,1199,20770,1,778000,,,,,
328,tata,tigor,manual,4,petrol,1199,17280,1,678000,,,,,
329,maruti,baleno,manual,7,petrol,1197,47472,1,520000,,,,,
330,volkswagen,vento,automatic,5,petrol,1197,30946,1,1056000,,,,,
331,mahindra,xuv500,automatic,5,diesel,2179,36879,2,1026000,,,,,
332,honda,city,automatic,8,petrol,1497,68957,1,671000,,,,,
333,honda,city,automatic,10,petrol,1497,69403,1,553000,,,,,
334,honda,city,manual,13,petrol,1497,88490,1,262000,,,,,
335,hyundai,grand,manual,2,petrol,1197,17035,1,628000,,,,,
336,hyundai,creta,manual,8,petrol,1591,77095,1,700000,,,,,
337,maruti,swift,manual,8,petrol,1197,40875,1,474000,,,,,
338,maruti,baleno,manual,3,petrol,1197,28415,1,638000,,,,,
339,tata,nexon,manual,3,petrol,1199,46101,1,769000,,,,,
340,hyundai,grand,automatic,10,petrol,1197,36652,1,393000,,,,,
341,maruti,ciaz,manual,5,petrol,1462,41735,1,719000,,,,,
342,maruti,baleno,automatic,5,petrol,1197,22779,2,643000,,,,,
343,mahindra,xuv500,manual,5,diesel,2179,46648,1,1099000,,,,,
344,maruti,wagon,manual,13,petrol,998,93282,1,163000,,,,,
345,tata,tiago,manual,4,petrol,1199,67014,1,489000,,,,,
346,maruti,s,manual,4,cng,998,64311,1,412000,,,,,
347,hyundai,grand,manual,7,cng,,99180,1,406000,,,,,
348,mahindra,xuv300,manual,3,diesel,1497,18252,2,961000,,,,,
349,honda,city,manual,8,petrol,1497,56424,2,609000,,,,,
350,hyundai,creta,manual,6,petrol,1591,103772,2,723000,,,,,
351,maruti,baleno,manual,3,petrol,1197,29923,1,606000,,,,,
352,maruti,baleno,manual,3,petrol,1197,41436,1,591000,,,,,
353,renault,triber,manual,2,petrol,999,7021,1,629000,,,,,
354,hyundai,creta,manual,6,petrol,,60193,1,803000,,,,,
355,tata,tigor,manual,3,petrol,1199,29667,2,508000,,,,,
356,hyundai,new,manual,5,petrol,1086,62309,1,407000,,,,,
357,volkswagen,vento,automatic,5,petrol,1197,58082,1,910000,,,,,
358,hyundai,grand,manual,9,petrol,1197,29116,1,363000,,,,,
359,maruti,s,manual,4,petrol,998,30782,1,369000,,,,,
360,honda,jazz,automatic,7,petrol,1199,95825,2,471000,,,,,
361,honda,jazz,manual,7,petrol,1199,59577,1,416000,,,,,
362,renault,triber,automatic,1,petrol,999,21044,1,741000,,,,,
363,renault,kwid,manual,4,petrol,999,11812,1,407000,,,,,
364,ford,ecosport,manual,5,diesel,1498,78701,1,705000,,,,,
365,hyundai,new,manual,3,petrol,1086,13421,1,472000,,,,,
366,hyundai,xcent,manual,10,petrol,1197,57224,1,332000,,,,,
367,renault,triber,manual,1,petrol,999,14050,1,683000,,,,,
368,mahindra,xuv500,manual,5,diesel,2179,55608,2,860000,,,,,
369,maruti,ciaz,manual,6,petrol,1462,51690,1,665000,,,,,
370,maruti,baleno,manual,3,petrol,1197,20654,1,603000,,,,,
371,hyundai,creta,automatic,5,petrol,1591,47323,1,1096000,,,,,
372,maruti,baleno,manual,6,petrol,1197,35462,1,535000,,,,,
373,hyundai,aura,manual,3,petrol,1197,30058,1,610000,,,,,
374,renault,triber,manual,3,petrol,999,28929,1,525000,,,,,
375,mahindra,xuv300,automatic,4,diesel,1497,64038,1,862000,,,,,
376,maruti,baleno,manual,3,petrol,1197,25705,1,669000,,,,,
377,maruti,celerio,automatic,6,petrol,998,35251,1,448000,,,,,
378,mahindra,xuv300,manual,5,diesel,1497,21843,2,692000,,,,,
379,kia,sonet,manual,2,petrol,998,15612,1,954000,,,,,
380,hyundai,i20,manual,10,petrol,1197,33251,1,389000,,,,,
381,hyundai,xcent,manual,3,cng,1197,30541,1,631000,,,,,
382,maruti,baleno,manual,5,petrol,,48969,1,629000,,,,,
383,maruti,ciaz,manual,7,petrol,1373,43537,1,647000,,,,,
384,hyundai,creta,automatic,7,petrol,1591,76048,2,828000,,,,,
385,maruti,ignis,manual,6,petrol,1197,31802,1,555000,,,,,
386,maruti,new,manual,2,petrol,1197,13103,1,568000,,,,,
387,maruti,new,manual,2,cng,998,38261,1,616000,,,,,
388,maruti,celerio,manual,5,petrol,998,63194,1,394000,,,,,
389,kia,seltos,automatic,3,diesel,1493,66666,1,1492000,,,,,
390,maruti,wagon,manual,10,petrol,998,32631,1,288000,,,,,
391,hyundai,grand,manual,2,petrol,1197,33898,1,651000,,,,,
392,maruti,wagon,manual,6,cng,998,80107,3,394000,,,,,
393,renault,kwid,manual,2,petrol,999,15362,1,408000,,,,,
394,maruti,wagon,manual,10,petrol,998,64539,2,236000,,,,,
395,tata,nexon,automatic,4,electric,,46001,1,1100000,,,,,
396,hyundai,grand,manual,9,petrol,1197,99453,1,339000,,,,,
397,honda,city,automatic,10,petrol,1497,47445,2,472000,,,,,
398,maruti,baleno,manual,5,petrol,1197,30890,2,582000,,,,,
399,honda,city,automatic,5,petrol,1497,68275,1,892000,,,,,
400,ford,ecosport,manual,5,petrol,1497,98296,2,616000,,,,,
401,hyundai,i20,manual,13,petrol,1197,89562,2,230000,,,,,
402,renault,kwid,manual,2,petrol,999,7168,1,421000,,,,,
403,renault,kwid,manual,5,petrol,999,34562,1,364000,,,,,
